adduser,3.134,dpkg,hiraga_peanuts,1727782917.121929
apt,2.6.1,dpkg,hiraga_peanuts,1727782917.121929
apt-file,3.3,dpkg,hiraga_peanuts,1727782917.121929
apt-transport-https,2.6.1,dpkg,hiraga_peanuts,1727782917.121929
apt-utils,2.6.1,dpkg,hiraga_peanuts,1727782917.121929
base-files,12.4+deb12u7,dpkg,hiraga_peanuts,1727782917.121929
base-passwd,3.6.1,dpkg,hiraga_peanuts,1727782917.121929
bash,5.2.15-2+b7,dpkg,hiraga_peanuts,1727782917.121929
bash-completion,1:2.11-6,dpkg,hiraga_peanuts,1727782917.121929
binfmt-support,2.2.2-2,dpkg,hiraga_peanuts,1727782917.121929
binutils,2.40-2,dpkg,hiraga_peanuts,1727782917.121929
binutils-common:amd64,2.40-2,dpkg,hiraga_peanuts,1727782917.121929
binutils-x86-64-linux-gnu,2.40-2,dpkg,hiraga_peanuts,1727782917.121929
bsdextrautils,2.38.1-5+deb12u1,dpkg,hiraga_peanuts,1727782917.121929
bsdutils,1:2.38.1-5+deb12u1,dpkg,hiraga_peanuts,1727782917.121929
build-essential,12.9,dpkg,hiraga_peanuts,1727782917.121929
bzip2,1.0.8-5+b1,dpkg,hiraga_peanuts,1727782917.121929
ca-certificates,20230311,dpkg,hiraga_peanuts,1727782917.121929
clang,1:14.0-55.7~deb12u1,dpkg,hiraga_peanuts,1727782917.121929
clang-14,1:14.0.6-12,dpkg,hiraga_peanuts,1727782917.121929
clang-format:amd64,1:14.0-55.7~deb12u1,dpkg,hiraga_peanuts,1727782917.121929
clang-format-14,1:14.0.6-12,dpkg,hiraga_peanuts,1727782917.121929
clang-tidy,1:14.0-55.7~deb12u1,dpkg,hiraga_peanuts,1727782917.121929
clang-tidy-14,1:14.0.6-12,dpkg,hiraga_peanuts,1727782917.121929
clang-tools:amd64,1:14.0-55.7~deb12u1,dpkg,hiraga_peanuts,1727782917.121929
clang-tools-14,1:14.0.6-12,dpkg,hiraga_peanuts,1727782917.121929
cmake-format,0.6.13-3,dpkg,hiraga_peanuts,1727782917.121929
coreutils,9.1-1,dpkg,hiraga_peanuts,1727782917.121929
cpp,4:12.2.0-3,dpkg,hiraga_peanuts,1727782917.121929
cpp-12,12.2.0-14,dpkg,hiraga_peanuts,1727782917.121929
cppcheck,2.10-2,dpkg,hiraga_peanuts,1727782917.121929
curl,7.88.1-10+deb12u7,dpkg,hiraga_peanuts,1727782917.121929
dash,0.5.12-2,dpkg,hiraga_peanuts,1727782917.121929
debconf,1.5.82,dpkg,hiraga_peanuts,1727782917.121929
debian-archive-keyring,2023.3+deb12u1,dpkg,hiraga_peanuts,1727782917.121929
debianutils,5.7-0.5~deb12u1,dpkg,hiraga_peanuts,1727782917.121929
dialog,1.3-20230209-1,dpkg,hiraga_peanuts,1727782917.121929
diffutils,1:3.8-4,dpkg,hiraga_peanuts,1727782917.121929
dirmngr,2.2.40-1.1,dpkg,hiraga_peanuts,1727782917.121929
dpkg,1.21.22,dpkg,hiraga_peanuts,1727782917.121929
dpkg-dev,1.21.22,dpkg,hiraga_peanuts,1727782917.121929
e2fsprogs,1.47.0-2,dpkg,hiraga_peanuts,1727782917.121929
environment-modules,5.2.0-1,dpkg,hiraga_peanuts,1727782917.121929
file,1:5.44-3,dpkg,hiraga_peanuts,1727782917.121929
findutils,4.9.0-4,dpkg,hiraga_peanuts,1727782917.121929
flex,2.6.4-8.2,dpkg,hiraga_peanuts,1727782917.121929
